term,description
GO:1902600,proton transmembrane transport
GO:0006119,oxidative phosphorylation
GO:0022900,electron transport chain
GO:0015986,proton motive force-driven ATP synthesis
GO:0072329,monocarboxylic acid catabolic process
GO:0033108,mitochondrial respiratory chain complex assembly
GO:0080171,lytic vacuole organization
GO:0006885,regulation of pH
GO:0006839,mitochondrial transport
GO:0007006,mitochondrial membrane organization
GO:0098754,detoxification
GO:0009636,response to toxic substance
GO:0006643,membrane lipid metabolic process
GO:0007041,lysosomal transport
GO:1901657,glycosyl compound metabolic process
GO:0072593,reactive oxygen species metabolic process
GO:0019377,glycolipid catabolic process
GO:1903509,liposaccharide metabolic process
GO:0006690,icosanoid metabolic process
GO:0032543,mitochondrial translation
GO:0140029,exocytic process
GO:0070050,neuron cellular homeostasis
GO:0007007,inner mitochondrial membrane organization
GO:0061025,membrane fusion
GO:0006892,post-Golgi vesicle-mediated transport
GO:0048284,organelle fusion
GO:0006637,acyl-CoA metabolic process
GO:0001676,long-chain fatty acid metabolic process
GO:0070588,calcium ion transmembrane transport
GO:0046474,glycerophospholipid biosynthetic process
GO:0033013,tetrapyrrole metabolic process
GO:0019883,antigen processing and presentation of endogenous antigen
GO:0048002,antigen processing and presentation of peptide antigen
GO:0072665,protein localization to vacuole
GO:0000422,autophagy of mitochondrion
GO:0150076,neuroinflammatory response
GO:0009311,oligosaccharide metabolic process
GO:1901264,carbohydrate derivative transport
GO:0044273,sulfur compound catabolic process
GO:0015748,organophosphate ester transport
GO:0006099,tricarboxylic acid cycle
GO:0001914,regulation of T cell mediated cytotoxicity
GO:0001906,cell killing
GO:0007039,protein catabolic process in the vacuole
GO:0017004,cytochrome complex assembly
GO:0006836,neurotransmitter transport
GO:0098876,vesicle-mediated transport to the plasma membrane
GO:0042180,ketone metabolic process
GO:0055074,calcium ion homeostasis
GO:0006575,modified amino acid metabolic process
GO:1905037,autophagosome organization
GO:0006879,intracellular iron ion homeostasis
GO:0009395,phospholipid catabolic process
GO:1901568,fatty acid derivative metabolic process
GO:0035493,SNARE complex assembly
GO:0007032,endosome organization
GO:0071621,granulocyte chemotaxis
GO:0072384,organelle transport along microtubule
GO:0019748,secondary metabolic process
GO:0002685,regulation of leukocyte migration
GO:0007029,endoplasmic reticulum organization
GO:0042445,hormone metabolic process
GO:0032635,interleukin-6 production
GO:0045454,cell redox homeostasis
GO:1901661,quinone metabolic process
GO:0009063,amino acid catabolic process
GO:0006638,neutral lipid metabolic process
GO:0022406,membrane docking
GO:0007626,locomotory behavior
GO:0043604,amide biosynthetic process
GO:1990849,vacuolar localization
GO:0051205,protein insertion into membrane
GO:0099022,vesicle tethering
GO:0006516,glycoprotein catabolic process
GO:0008090,retrograde axonal transport
GO:0006826,iron ion transport
GO:0036465,synaptic vesicle recycling
GO:0007031,peroxisome organization
GO:0016052,carbohydrate catabolic process
GO:0006633,fatty acid biosynthetic process
GO:0060326,cell chemotaxis
GO:0006805,xenobiotic metabolic process
GO:0042886,amide transport
GO:0002274,myeloid leukocyte activation
GO:0046488,phosphatidylinositol metabolic process
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production
GO:0170062,nutrient storage
GO:1902652,secondary alcohol metabolic process
GO:0072524,pyridine-containing compound metabolic process
GO:0010043,response to zinc ion
GO:0045109,intermediate filament organization
GO:0016485,protein processing
GO:0006022,aminoglycan metabolic process
GO:0000266,mitochondrial fission
GO:0097120,receptor localization to synapse
GO:0140962,multicellular organismal-level chemical homeostasis
GO:0002526,acute inflammatory response
GO:0015849,organic acid transport
GO:0061744,motor behavior
GO:0046835,carbohydrate phosphorylation
GO:0050818,regulation of coagulation
GO:1901292,nucleoside phosphate catabolic process
GO:0046471,phosphatidylglycerol metabolic process
GO:0006720,isoprenoid metabolic process
GO:0006040,amino sugar metabolic process
GO:0097502,mannosylation
GO:0042742,defense response to bacterium
GO:0032637,interleukin-8 production
GO:0006820,monoatomic anion transport
GO:0034205,amyloid-beta formation
GO:0034058,endosomal vesicle fusion
